Date,Weekly U.S. Product Supplied of Distillate Fuel Oil  (Thousand Barrels per Day)
1997-02-21,3228
1997-02-28,3221
1997-03-07,3353
1997-03-14,3665
1997-03-21,3728
1997-03-28,3689
1997-04-04,3565
1997-04-11,3229
1997-04-18,3647
1997-04-25,3524
1997-05-02,3341
1997-05-09,3476
1997-05-16,3267
1997-05-23,3218
1997-05-30,2842
1997-06-06,3146
1997-06-13,3391
1997-06-20,3384
1997-06-27,3379
1997-07-04,3528
1997-07-11,2819
1997-07-18,3672
1997-07-25,3393
1997-08-01,3177
1997-08-08,3411
1997-08-15,3123
1997-08-22,3182
1997-08-29,3293
1997-09-05,2751
1997-09-12,3428
1997-09-19,3082
1997-09-26,3460
1997-10-03,3475
1997-10-10,3423
1997-10-17,3634
1997-10-24,3620
1997-10-31,3599
1997-11-07,3379
1997-11-14,3560
1997-11-21,3618
1997-11-28,3517
1997-12-05,3429
1997-12-12,3752
1997-12-19,3976
1997-12-26,4088
1998-01-02,2692
1998-01-09,3271
1998-01-16,3757
1998-01-23,3974
1998-01-30,3739
1998-02-06,3796
1998-02-13,3434
1998-02-20,3654
1998-02-27,3481
1998-03-06,3510
1998-03-13,3663
1998-03-20,3575
1998-03-27,3918
1998-04-03,3700
1998-04-10,3122
1998-04-17,3428
1998-04-24,3574
1998-05-01,3448
1998-05-08,3089
1998-05-15,3750
1998-05-22,3254
1998-05-29,2954
1998-06-05,3678
1998-06-12,3366
1998-06-19,3561
1998-06-26,3815
1998-07-03,3320
1998-07-10,3320
1998-07-17,3044
1998-07-24,3231
1998-07-31,3626
1998-08-07,3486
1998-08-14,3395
1998-08-21,3606
1998-08-28,3813
1998-09-04,3251
1998-09-11,3151
1998-09-18,3364
1998-09-25,3010
1998-10-02,3395
1998-10-09,3658
1998-10-16,3521
1998-10-23,3193
1998-10-30,3614
1998-11-06,3377
1998-11-13,3554
1998-11-20,3697
1998-11-27,2955
1998-12-04,3227
1998-12-11,3198
1998-12-18,3776
1998-12-25,3248
1999-01-01,3432
1999-01-08,3296
1999-01-15,4612
1999-01-22,3724
1999-01-29,3389
1999-02-05,3642
1999-02-12,3603
1999-02-19,3642
1999-02-26,3601
1999-03-05,3738
1999-03-12,3864
1999-03-19,3849
1999-03-26,4045
1999-04-02,3038
1999-04-09,2650
1999-04-16,3714
1999-04-23,3237
1999-04-30,3469
1999-05-07,3542
1999-05-14,3451
1999-05-21,3270
1999-05-28,3447
1999-06-04,3451
1999-06-11,2915
1999-06-18,3857
1999-06-25,3460
1999-07-02,3198
1999-07-09,3038
1999-07-16,3292
1999-07-23,3325
1999-07-30,3436
1999-08-06,3595
1999-08-13,3222
1999-08-20,3177
1999-08-27,3245
1999-09-03,3455
1999-09-10,3360
1999-09-17,3532
1999-09-24,3253
1999-10-01,3755
1999-10-08,3773
1999-10-15,3747
1999-10-22,4061
1999-10-29,3821
1999-11-05,4119
1999-11-12,4037
1999-11-19,4028
1999-11-26,3501
1999-12-03,3362
1999-12-10,3914
1999-12-17,3901
1999-12-24,4105
1999-12-31,3999
2000-01-07,3007
2000-01-14,3766
2000-01-21,4364
2000-01-28,3866
2000-02-04,4192
2000-02-11,3866
2000-02-18,3716
2000-02-25,3761
2000-03-03,3386
2000-03-10,3677
2000-03-17,3798
2000-03-24,3790
2000-03-31,3593
2000-04-07,3439
2000-04-14,4197
2000-04-21,3504
2000-04-28,3445
2000-05-05,3667
2000-05-12,3783
2000-05-19,3787
2000-05-26,3657
2000-06-02,3225
2000-06-09,3276
2000-06-16,3855
2000-06-23,3496
2000-06-30,3746
2000-07-07,3025
2000-07-14,3461
2000-07-21,3420
2000-07-28,3533
2000-08-04,3610
2000-08-11,3602
2000-08-18,3655
2000-08-25,3706
2000-09-01,3878
2000-09-08,3583
2000-09-15,3654
2000-09-22,4024
2000-09-29,4001
2000-10-06,3706
2000-10-13,3996
2000-10-20,4171
2000-10-27,3681
2000-11-03,3754
2000-11-10,4240
2000-11-17,3894
2000-11-24,3729
2000-12-01,3467
2000-12-08,4687
2000-12-15,3791
2000-12-22,4177
2000-12-29,3999
2001-01-05,4577
2001-01-12,4319
2001-01-19,3748
2001-01-26,4175
2001-02-02,3858
2001-02-09,4081
2001-02-16,3883
2001-02-23,4037
2001-03-02,4146
2001-03-09,3956
2001-03-16,4315
2001-03-23,4010
2001-03-30,4130
2001-04-06,3647
2001-04-13,3502
2001-04-20,3984
2001-04-27,3566
2001-05-04,3948
2001-05-11,3594
2001-05-18,3622
2001-05-25,3537
2001-06-01,3258
2001-06-08,3892
2001-06-15,3447
2001-06-22,3358
2001-06-29,3718
2001-07-06,3387
2001-07-13,3477
2001-07-20,3641
2001-07-27,3679
2001-08-03,3960
2001-08-10,3941
2001-08-17,3716
2001-08-24,3797
2001-08-31,3714
2001-09-07,3699
2001-09-14,3292
2001-09-21,3914
2001-09-28,3726
2001-10-05,3651
2001-10-12,3716
2001-10-19,3721
2001-10-26,4041
2001-11-02,3914
2001-11-09,3639
2001-11-16,4047
2001-11-23,3601
2001-11-30,3696
2001-12-07,3684
2001-12-14,4072
2001-12-21,3994
2001-12-28,3807
2002-01-04,3160
2002-01-11,3866
2002-01-18,3997
2002-01-25,3511
2002-02-01,3894
2002-02-08,3633
2002-02-15,3891
2002-02-22,4030
2002-03-01,3828
2002-03-08,3745
2002-03-15,3715
2002-03-22,3738
2002-03-29,3980
2002-04-05,3438
2002-04-12,3838
2002-04-19,3737
2002-04-26,3610
2002-05-03,3777
2002-05-10,3756
2002-05-17,3445
2002-05-24,3694
2002-05-31,3409
2002-06-07,3400
2002-06-14,3598
2002-06-21,3806
2002-06-28,3892
2002-07-05,3404
2002-07-12,3465
2002-07-19,3624
2002-07-26,3451
2002-08-02,3462
2002-08-09,3564
2002-08-16,3586
2002-08-23,3862
2002-08-30,3872
2002-09-06,3232
2002-09-13,3831
2002-09-20,3786
2002-09-27,3481
2002-10-04,4029
2002-10-11,3473
2002-10-18,3584
2002-10-25,4098
2002-11-01,4006
2002-11-08,3786
2002-11-15,3620
2002-11-22,4416
2002-11-29,4104
2002-12-06,3778
2002-12-13,4245
2002-12-20,4133
2002-12-27,3970
2003-01-03,3697
2003-01-10,3686
2003-01-17,4022
2003-01-24,4495
2003-01-31,4926
2003-02-07,4155
2003-02-14,4639
2003-02-21,4478
2003-02-28,4319
2003-03-07,4049
2003-03-14,4526
2003-03-21,3830
2003-03-28,4065
2003-04-04,4056
2003-04-11,3650
2003-04-18,3813
2003-04-25,3841
2003-05-02,3888
2003-05-09,3637
2003-05-16,3613
2003-05-23,3953
2003-05-30,3632
2003-06-06,3608
2003-06-13,3894
2003-06-20,3835
2003-06-27,3691
2003-07-04,3941
2003-07-11,3031
2003-07-18,3645
2003-07-25,3420
2003-08-01,3874
2003-08-08,3666
2003-08-15,3645
2003-08-22,3739
2003-08-29,3503
2003-09-05,3427
2003-09-12,3576
2003-09-19,3856
2003-09-26,3857
2003-10-03,3830
2003-10-10,4004
2003-10-17,3413
2003-10-24,3637
2003-10-31,4116
2003-11-07,4042
2003-11-14,4207
2003-11-21,4051
2003-11-28,3606
2003-12-05,3804
2003-12-12,4133
2003-12-19,4205
2003-12-26,3907
2004-01-02,3249
2004-01-09,3396
2004-01-16,4392
2004-01-23,4692
2004-01-30,4716
2004-02-06,4585
2004-02-13,4704
2004-02-20,4160
2004-02-27,3917
2004-03-05,3781
2004-03-12,3929
2004-03-19,3969
2004-03-26,3715
2004-04-02,4541
2004-04-09,3863
2004-04-16,4041
2004-04-23,4048
2004-04-30,3851
2004-05-07,3936
2004-05-14,3866
2004-05-21,4060
2004-05-28,4099
2004-06-04,4104
2004-06-11,3881
2004-06-18,3885
2004-06-25,4053
2004-07-02,3928
2004-07-09,3850
2004-07-16,3867
2004-07-23,3928
2004-07-30,3917
2004-08-06,4009
2004-08-13,3992
2004-08-20,4088
2004-08-27,3950
2004-09-03,4030
2004-09-10,3771
2004-09-17,3999
2004-09-24,3737
2004-10-01,4071
2004-10-08,4237
2004-10-15,4210
2004-10-22,4368
2004-10-29,4242
2004-11-05,4038
2004-11-12,4209
2004-11-19,4207
2004-11-26,4092
2004-12-03,4080
2004-12-10,4242
2004-12-17,4381
2004-12-24,4430
2004-12-31,4176
2005-01-07,4172
2005-01-14,4051
2005-01-21,4462
2005-01-28,4528
2005-02-04,4378
2005-02-11,4357
2005-02-18,4125
2005-02-25,4155
2005-03-04,4321
2005-03-11,4373
2005-03-18,4415
2005-03-25,4234
2005-04-01,4233
2005-04-08,4248
2005-04-15,4268
2005-04-22,4090
2005-04-29,4240
2005-05-06,3913
2005-05-13,4220
2005-05-20,3929
2005-05-27,4230
2005-06-03,4057
2005-06-10,4206
2005-06-17,4010
2005-06-24,4047
2005-07-01,4110
2005-07-08,3904
2005-07-15,3911
2005-07-22,4001
2005-07-29,4140
2005-08-05,3973
2005-08-12,3982
2005-08-19,4028
2005-08-26,4051
2005-09-02,3995
2005-09-09,3906
2005-09-16,3869
2005-09-23,3835
2005-09-30,4034
2005-10-07,3909
2005-10-14,3900
2005-10-21,4293
2005-10-28,4066
2005-11-04,4205
2005-11-11,3917
2005-11-18,4156
2005-11-25,4003
2005-12-02,4094
2005-12-09,4256
2005-12-16,4650
2005-12-23,4462
2005-12-30,4017
2006-01-06,4036
2006-01-13,4131
2006-01-20,4250
2006-01-27,4167
2006-02-03,4226
2006-02-10,4226
2006-02-17,4358
2006-02-24,4255
2006-03-03,4356
2006-03-10,4438
2006-03-17,4076
2006-03-24,4078
2006-03-31,4039
2006-04-07,4269
2006-04-14,3995
2006-04-21,3899
2006-04-28,4171
2006-05-05,4199
2006-05-12,4125
2006-05-19,3940
2006-05-26,4142
2006-06-02,4016
2006-06-09,4080
2006-06-16,4087
2006-06-23,4091
2006-06-30,4122
2006-07-07,4182
2006-07-14,4160
2006-07-21,4151
2006-07-28,4073
2006-08-04,4024
2006-08-11,3906
2006-08-18,4105
2006-08-25,4236
2006-09-01,4166
2006-09-08,4049
2006-09-15,4135
2006-09-22,4141
2006-09-29,4219
2006-10-06,4323
2006-10-13,4525
2006-10-20,4279
2006-10-27,4590
2006-11-03,4364
2006-11-10,4603
2006-11-17,4210
2006-11-24,4236
2006-12-01,4275
2006-12-08,4300
2006-12-15,4325
2006-12-22,4351
2006-12-29,4147
2007-01-05,3979
2007-01-12,3978
2007-01-19,4107
2007-01-26,4540
2007-02-02,4651
2007-02-09,4709
2007-02-16,4734
2007-02-23,4710
2007-03-02,4498
2007-03-09,4476
2007-03-16,4462
2007-03-23,4348
2007-03-30,4288
2007-04-06,4308
2007-04-13,4428
2007-04-20,4260
2007-04-27,4289
2007-05-04,4134
2007-05-11,4092
2007-05-18,4161
2007-05-25,4335
2007-06-01,4084
2007-06-08,4079
2007-06-15,4086
2007-06-22,4391
2007-06-29,4010
2007-07-06,4036
2007-07-13,4109
2007-07-20,4043
2007-07-27,4110
2007-08-03,4110
2007-08-10,4158
2007-08-17,4288
2007-08-24,4199
