Date,Weekly U.S. Product Supplied of Distillate Fuel Oil  (Thousand Barrels per Day)
2017-06-30,4322
2017-07-07,3858
2017-07-14,4334
2017-07-21,4376
2017-07-28,4140
2017-08-04,4510
2017-08-11,4222
2017-08-18,4077
2017-08-25,3910
2017-09-01,4063
2017-09-08,4057
2017-09-15,4264
2017-09-22,3746
2017-09-29,4007
2017-10-06,3648
2017-10-13,3477
2017-10-20,4101
2017-10-27,3534
2017-11-03,4486
2017-11-10,4029
2017-11-17,4057
2017-11-24,3882
2017-12-01,3737
2017-12-08,4380
2017-12-15,3926
2017-12-22,4326
2017-12-29,3588
2018-01-05,3655
2018-01-12,4738
2018-01-19,3847
2018-01-26,4470
2018-02-02,3778
2018-02-09,4082
2018-02-16,4224
2018-02-23,3921
2018-03-02,3926
2018-03-09,3832
2018-03-16,3917
2018-03-23,4375
2018-03-30,3887
2018-04-06,4170
2018-04-13,4356
2018-04-20,3749
2018-04-27,4485
2018-05-04,4307
2018-05-11,4222
2018-05-18,3637
2018-05-25,4319
2018-06-01,3502
2018-06-08,4404
2018-06-15,3825
2018-06-22,3612
2018-06-29,4126
2018-07-06,3805
2018-07-13,4141
2018-07-20,4167
2018-07-27,3611
2018-08-03,4002
2018-08-10,3959
2018-08-17,4065
2018-08-24,4437
2018-08-31,4290
2018-09-07,3288
2018-09-14,4152
2018-09-21,4291
2018-09-28,3877
2018-10-05,4629
2018-10-12,3793
2018-10-19,4006
2018-10-26,4426
2018-11-02,4318
2018-11-09,4633
2018-11-16,4270
2018-11-23,3569
2018-11-30,4037
2018-12-07,4469
2018-12-14,4886
2018-12-21,4242
2018-12-28,3203
2019-01-04,2955
2019-01-11,4449
2019-01-18,4668
2019-01-25,4122
2019-02-01,4673
2019-02-08,3767
2019-02-15,4216
2019-02-22,4076
2019-03-01,4145
2019-03-08,3953
2019-03-15,4706
2019-03-22,4216
2019-03-29,4156
2019-04-05,3779
2019-04-12,3353
2019-04-19,3796
2019-04-26,4215
2019-05-03,3896
2019-05-10,4094
2019-05-17,3787
2019-05-24,4282
2019-05-31,3387
2019-06-07,4368
2019-06-14,4061
2019-06-21,3968
2019-06-28,3828
2019-07-05,3551
2019-07-12,3565
2019-07-19,4264
2019-07-26,3885
2019-08-02,3886
2019-08-09,3859
2019-08-16,3758
2019-08-23,4048
2019-08-30,4134
2019-09-06,3804
2019-09-13,3859
2019-09-20,3897
2019-09-27,3960
2019-10-04,4036
2019-10-11,4366
2019-10-18,4076
2019-10-25,4263
2019-11-01,4296
2019-11-08,4534
2019-11-15,4323
2019-11-22,4393
2019-11-29,3556
2019-12-06,3731
2019-12-13,4120
2019-12-20,4214
2019-12-27,3055
2020-01-03,3373
2020-01-10,3185
2020-01-17,4389
2020-01-24,3901
2020-01-31,4211
2020-02-07,3820
2020-02-14,3728
2020-02-21,4119
2020-02-28,3919
2020-03-06,4398
2020-03-13,4013
2020-03-20,3795
2020-03-27,3907
2020-04-03,3807
2020-04-10,2757
2020-04-17,3128
2020-04-24,3164
2020-05-01,3129
2020-05-08,3818
2020-05-15,3668
2020-05-22,3266
2020-05-29,2718
2020-06-05,3302
2020-06-12,3555
2020-06-19,3466
2020-06-26,3778
2020-07-03,3019
2020-07-10,3692
2020-07-17,3223
2020-07-24,3635
2020-07-31,3700
2020-08-07,3862
2020-08-14,3253
2020-08-21,3958
2020-08-28,3918
2020-09-04,3713
2020-09-11,2809
2020-09-18,3959
2020-09-25,3655
2020-10-02,3868
2020-10-09,4175
2020-10-16,3588
2020-10-23,4240
2020-10-30,3762
2020-11-06,4054
2020-11-13,4225
2020-11-20,4175
2020-11-27,3789
2020-12-04,3389
2020-12-11,4002
2020-12-18,4174
2020-12-25,3594
2021-01-01,2941
2021-01-08,3609
2021-01-15,3821
2021-01-22,4300
2021-01-29,4198
2021-02-05,4308
2021-02-12,4454
2021-02-19,3932
2021-02-26,3788
2021-03-05,4487
2021-03-12,4028
2021-03-19,3592
2021-03-26,4113
2021-04-02,3664
2021-04-09,4128
2021-04-16,3854
2021-04-23,4330
2021-04-30,4125
2021-05-07,3968
2021-05-14,4058
2021-05-21,4461
2021-05-28,3813
2021-06-04,3413
2021-06-11,4336
2021-06-18,3947
2021-06-25,4170
2021-07-02,3840
2021-07-09,3164
2021-07-16,3925
2021-07-23,4356
2021-07-30,3618
2021-08-06,3734
2021-08-13,4323
2021-08-20,4104
2021-08-27,4390
2021-09-03,3685
2021-09-10,3795
2021-09-17,4424
2021-09-24,3973
2021-10-01,4365
2021-10-08,3932
2021-10-15,4278
2021-10-22,3869
2021-10-29,3686
2021-11-05,4280
2021-11-12,4350
2021-11-19,4391
2021-11-26,4209
2021-12-03,3578
2021-12-10,4896
2021-12-17,3822
2021-12-24,4051
2021-12-31,3739
2022-01-07,3749
2022-01-14,4556
2022-01-21,4754
2022-01-28,4669
2022-02-04,4296
2022-02-11,4321
2022-02-18,4233
2022-02-25,4450
2022-03-04,4587
2022-03-11,3704
2022-03-18,4516
2022-03-25,3804
2022-04-01,3647
2022-04-08,3484
2022-04-15,3822
2022-04-22,3834
2022-04-29,3956
2022-05-06,3777
2022-05-13,3816
2022-05-20,3867
2022-05-27,3969
2022-06-03,3650
2022-06-10,3619
2022-06-17,3862
2022-06-24,3568
2022-07-01,4382
2022-07-08,3368
2022-07-15,3697
2022-07-22,3750
2022-07-29,3877
2022-08-05,3724
2022-08-12,3925
2022-08-19,3888
2022-08-26,3566
2022-09-02,3624
2022-09-09,3132
2022-09-16,3409
2022-09-23,4178
2022-09-30,4105
2022-10-07,4370
2022-10-14,4072
2022-10-21,3878
2022-10-28,4257
2022-11-04,4161
2022-11-11,3863
2022-11-18,3846
2022-11-25,3656
2022-12-02,3550
2022-12-09,3768
2022-12-16,4015
2022-12-23,3880
2022-12-30,2799
2023-01-06,3821
2023-01-13,4024
2023-01-20,3878
2023-01-27,3692
2023-02-03,3762
2023-02-10,3894
2023-02-17,3771
2023-02-24,3835
2023-03-03,3514
2023-03-10,3736
2023-03-17,3974
2023-03-24,3713
2023-03-31,4240
2023-04-07,3763
2023-04-14,3765
2023-04-21,3728
2023-04-28,3872
2023-05-05,4035
2023-05-12,3736
2023-05-19,4198
2023-05-26,3646
2023-06-02,3814
2023-06-09,3574
2023-06-16,3978
2023-06-23,3314
2023-06-30,3811
2023-07-07,2969
2023-07-14,3669
2023-07-21,3718
2023-07-28,3826
2023-08-04,3762
2023-08-11,3648
2023-08-18,3836
2023-08-25,3702
2023-09-01,3866
2023-09-08,3578
2023-09-15,4166
2023-09-22,3972
2023-09-29,3815
2023-10-06,3670
2023-10-13,4416
2023-10-20,4069
2023-10-27,3682
2023-11-03,4298
2023-11-10,4109
2023-11-17,4110
2023-11-24,3014
2023-12-01,3756
2023-12-08,3770
2023-12-15,3823
2023-12-22,3977
2023-12-29,2658
2024-01-05,3432
2024-01-12,3645
2024-01-19,3784
2024-01-26,3757
2024-02-02,3817
2024-02-09,3514
2024-02-16,3940
2024-02-23,3536
2024-03-01,4074
2024-03-08,3375
2024-03-15,3786
2024-03-22,4028
2024-03-29,3495
2024-04-05,2985
2024-04-12,3666
2024-04-19,3552
2024-04-26,3678
2024-05-03,3489
2024-05-10,3831
2024-05-17,3883
2024-05-24,3795
2024-05-31,3367
2024-06-07,3649
2024-06-14,3977
2024-06-21,3536
2024-06-28,3715
2024-07-05,3466
2024-07-12,3585
2024-07-19,3861
2024-07-26,3725
2024-08-02,3469
2024-08-09,3549
2024-08-16,3576
2024-08-23,3822
2024-08-30,3997
2024-09-06,3558
2024-09-13,3798
2024-09-20,4022
2024-09-27,3638
2024-10-04,4031
2024-10-11,4212
2024-10-18,4131
2024-10-25,3881
2024-11-01,3406
2024-11-08,4098
2024-11-15,3775
2024-11-22,3718
2024-11-29,3398
2024-12-06,3450
2024-12-13,4498
2024-12-20,4253
2024-12-27,3232
2025-01-03,3178
2025-01-10,3839
2025-01-17,4108
2025-01-24,4506
2025-01-31,4599
2025-02-07,3685
2025-02-14,4364
2025-02-21,4097
2025-02-28,3991
